,references,classes,attributes,packages,enum,datatypes
3366,-0.020144135734008937,-0.37109806983756294,-0.21790306501532192,-0.18130449908601642,-0.38431668881912634,0.09886388080631131
1945,3.727459229151736,1.624446149342698,0.029870928082384406,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
2975,-0.1487383688428335,-0.047496304565088215,0.938375569440641,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4181,0.49423279670128933,0.5817293501313905,0.5667145797940815,-0.18130449908601642,-0.027028300285337065,-0.29357577570224946
4407,-0.4426680445201468,-0.568854704170742,-0.5069727236293127,-0.18130449908601642,-0.38431668881912634,-0.16276255686606253
5460,-0.5161504634394751,-0.5149210766253295,-0.4656770581130283,-0.18130449908601642,-0.027028300285337065,-0.29357577570224946
661,-0.5161504634394751,-0.568854704170742,-0.3417900615641751,-0.18130449908601642,-0.027028300285337065,-0.16276255686606253
3377,2.221069641305505,3.8716806304015505,0.5667145797940815,0.2213365324842088,-0.38431668881912634,-0.29357577570224946
4136,-0.5161504634394751,-0.5508768283222711,-0.38308572708045946,-0.18130449908601642,-0.027028300285337065,-0.29357577570224946
459,-0.42429743979031476,-0.5508768283222711,-0.38308572708045946,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
554,-0.40592683506048266,-0.5149210766253295,-0.5069727236293127,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
188,-0.5161504634394751,-0.568854704170742,-0.38308572708045946,-0.18130449908601642,-0.027028300285337065,-0.29357577570224946
4583,-0.4610386492499789,-0.5508768283222711,-0.3004943960478907,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
3101,-0.13036776411300144,-0.33514231814062134,-0.09401606846646876,-0.18130449908601642,1.7594136423836093,-0.16276255686606253
3976,-0.0568853451936731,0.9412868671008069,8.412891027888115,-0.18130449908601642,0.3302600882484522,-0.03194933802987561
1123,-0.29570320668149014,-0.5328989524738004,-0.5895640546618814,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
3331,-0.3508150208709864,-0.5149210766253295,-0.2591987305316063,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4408,-0.4426680445201468,-0.5149210766253295,-0.38308572708045946,0.2213365324842088,0.6875484767822415,0.09886388080631131
4549,-0.5345210681693072,-0.5508768283222711,-0.3417900615641751,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4277,-0.42429743979031476,-0.4969432007768587,-0.38308572708045946,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
2355,-0.2405913924919939,-0.4250316973829754,-0.2591987305316063,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4832,0.9718685196769234,0.8513974878584527,2.5489065245757323,1.4292596271948845,1.0448368653160307,-0.29357577570224946
1895,-0.40592683506048266,-0.5508768283222711,-0.38308572708045946,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
5159,0.8065330771084347,0.04239307467726588,0.7731929073755035,-0.18130449908601642,0.3302600882484522,0.3604903184786852
1752,-0.49777985870964303,-0.46098744907991707,-0.17660739949903753,-0.18130449908601642,-0.38431668881912634,-0.16276255686606253
3040,0.29215614467313644,-0.26323081474673804,0.7731929073755035,-0.18130449908601642,-0.38431668881912634,4.0232604458919194
1527,-0.09362655465333726,0.07834882637420752,-0.21790306501532192,-0.18130449908601642,-0.38431668881912634,0.09886388080631131
830,-0.5161504634394751,-0.5149210766253295,-0.5482683891455971,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4182,-0.5345210681693072,-0.568854704170742,-0.4656770581130283,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
4098,-0.4426680445201468,-0.4789653249283879,-0.4243813925967439,-0.18130449908601642,-0.38431668881912634,-0.29357577570224946
657,-0.479409253979811,-0.5328989524738004,-0.4243813925967439,-0.18130449908601642,-0.027028300285337065,-0.29357577570224946
1122,7.438321384577816,3.458189485886722,3.168341507319998,-0.18130449908601642,4.2604323621201345,-0.29357577570224946
3118,-0.36918562560081847,-0.4789653249283879,-0.38308572708045946,1.0266185956246592,-0.027028300285337065,-0.16276255686606253
894,1.3392806142735652,3.63796824437143,0.029870928082384406,7.066234069178037,-0.38431668881912634,-0.29357577570224946
