,type_Class,type_Relationship,type_Package,type_Actor,type_DataType,type_Operation,type_Transition,type_State,type_Property,type_UseCase,type_Component,type_Enumeration,type_Activity
1613,0.3041970138884447,0.5488986675587578,-0.2342954571176884,0.619531598225052,0.104832779207635,0.1302027211643463,-0.07632484042416077,-0.07583933807221192,1.424328028524074,0.8100265418045707,1.0491401636253626,-0.34138726594381813,-0.3411593579396967
667,-0.08750673381557424,-0.6402386534844793,-0.2342954571176884,-0.5361248459310477,0.4647184886713933,-0.3176346614201232,-0.07632484042416077,-0.07583933807221192,-0.02433964448191158,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
1907,-0.8709142292236122,-0.920035670200535,-0.2342954571176884,-0.5361248459310477,-0.2550529302561234,-0.5095649682420387,-0.07632484042416077,-0.07583933807221192,-1.0031691532697398,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
4578,-0.3486425656182536,0.339050905021716,-0.2342954571176884,0.619531598225052,-0.2550529302561234,0.38610979692690034,-0.07632484042416077,-0.07583933807221192,0.6412644214938116,0.4002974999828811,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
2053,2.0015799206058604,0.9685941926328415,-0.2342954571176884,-0.15090603121234783,2.6240327454539436,0.1941794901049848,-0.07632484042416077,-0.07583933807221192,1.424328028524074,-0.4191605836604981,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
4864,-0.08750673381557424,-0.5003401451264514,-0.2342954571176884,-0.5361248459310477,2.983918454917702,4.864483622771595,-0.07632484042416077,-0.07583933807221192,0.44549851973624593,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,-0.3411593579396967
2078,0.6959007615924637,0.059253888305660196,-0.2342954571176884,-0.5361248459310477,-0.2550529302561234,1.4737148689177548,-0.07632484042416077,-0.07583933807221192,-0.45502462834855595,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,-0.3411593579396967
2540,0.04306118208576543,-0.3604416367684235,-0.2342954571176884,-0.5361248459310477,-0.2550529302561234,-0.5095649682420387,-0.07632484042416077,-0.07583933807221192,-0.6116373497546085,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,-0.3411593579396967
4347,-0.8709142292236122,-0.920035670200535,-0.2342954571176884,-0.5361248459310477,-0.2550529302561234,-0.5095649682420387,-0.07632484042416077,-0.07583933807221192,-1.0031691532697398,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
2753,-0.8709142292236122,-0.920035670200535,-0.2342954571176884,-0.5361248459310477,-0.2550529302561234,-0.5095649682420387,-0.07632484042416077,-0.07583933807221192,-1.0031691532697398,-0.5215928441159204,-0.3092840944791531,-0.34138726594381813,0.34691894192292166
