,type_Class,type_Relationship,type_Package,type_Actor,type_DataType,type_Operation,type_Transition,type_State,type_Property,type_UseCase,type_Component,type_Enumeration,type_Activity
5097,0.5020874118991934,0.9911171626731144,-0.3011372154791133,1.22020006475575,-0.24577960974798058,0.901605595544842,-0.07111521786352787,-0.07193525664868046,1.435257862786069,0.784599296078554,-0.363754583045914,-0.4649821895528657,2.4048491294596794
3230,0.36426406752742224,-0.36785705220132886,1.6263583911796156,-0.5589238783461782,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,0.007660782014293836,-0.6161604984509761,-0.363754583045914,1.9849834035444027,-0.4414776439261761
4638,-0.876146031818518,-0.9502745728618046,1.6263583911796156,-0.11414289257069617,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,-0.8488974664487713,0.22429537826674203,-0.363754583045914,-0.4649821895528657,3.828012516152607
4137,-0.04920596558789118,-0.5619962257548208,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,0.0497439778982926,-0.07111521786352787,-0.07193525664868046,0.007660782014293836,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
3015,0.08861737878387996,-0.2707874654245829,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,-0.518163767199407,-0.07111521786352787,-0.07193525664868046,0.6194881023450546,-0.6161604984509761,-0.363754583045914,1.9849834035444027,0.9816857427667517
532,1.191204133758049,-0.4649266389780748,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,-0.17741912014078726,-0.07111521786352787,-0.07193525664868046,-0.23707014611801047,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,0.9816857427667517
3130,-1.0139693761902893,2.9325088982080336,-0.3011372154791133,2.999324007857678,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,-0.5225895622723655,4.006346823496473,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
3828,1.3290274781298201,0.5057692287893847,-0.3011372154791133,-0.5589238783461782,0.10592922647733787,0.7880240465253021,-0.07111521786352787,-0.07193525664868046,0.9050075184994096,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
983,0.08861737878387996,-0.5619962257548208,0.6626105878502512,-0.5589238783461782,2.919599916279885,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,0.5786996143230039,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,0.9816857427667517
3660,0.5020874118991934,-0.4649266389780748,-0.3011372154791133,-0.5589238783461782,1.86447340760393,0.7880240465253021,-0.07111521786352787,-0.07193525664868046,0.45633415025685176,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
1287,0.5020874118991934,-0.36785705220132886,1.6263583911796156,-0.5589238783461782,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,0.1708147341024967,-0.6161604984509761,-0.363754583045914,1.9849834035444027,-0.4414776439261761
2691,-1.0139693761902893,0.020421294905654967,-0.3011372154791133,1.22020006475575,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,-0.2778586341400612,1.484979193343319,1.2405660033730055,-0.4649821895528657,-0.4414776439261761
1801,-0.04920596558789118,-0.8532049860850586,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,-0.518163767199407,-0.07111521786352787,-0.07193525664868046,0.08923775805839528,-0.6161604984509761,-0.363754583045914,0.7600006069957685,0.9816857427667517
2115,-0.04920596558789118,-0.5619962257548208,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,0.0497439778982926,-0.07111521786352787,-0.07193525664868046,0.007660782014293836,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
1291,-0.04920596558789118,-0.6590658125315667,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,-0.2910006691603272,-0.07111521786352787,-0.07193525664868046,-0.5225895622723655,-0.6161604984509761,-0.363754583045914,1.9849834035444027,0.9816857427667517
2455,-1.0139693761902893,0.21456046845914686,-0.3011372154791133,0.3306380932047859,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,-0.35943561018416265,1.484979193343319,1.2405660033730055,-0.4649821895528657,-0.4414776439261761
4091,1.4668508225015913,0.8940475758963685,-0.3011372154791133,-0.5589238783461782,-0.24577960974798058,1.3559317916230016,-0.07111521786352787,-0.07193525664868046,-0.19628165809595977,-0.6161604984509761,-0.363754583045914,-0.4649821895528657,-0.4414776439261761
2891,-1.0139693761902893,0.21456046845914686,0.6626105878502512,0.775419078980268,-0.24577960974798058,-0.574954541709177,-0.07111521786352787,-0.07193525664868046,-0.35943561018416265,1.484979193343319,1.2405660033730055,-0.4649821895528657,-0.4414776439261761
